Argument ID,Date,Duration (minutes),Topic,Emotional Tone,Resolution Type,Mood Swing,Notes
426,2024-01-27,29,Social Activities,Hurt,Apology,Severe,Discussed social activities for 29 minutes. Emotional tone was Hurt. Mood swings observed: Severe. Resolution type: Apology.
427,2024-02-11,42,Money Management,Angry,No Resolution,Moderate,Discussed money management for 42 minutes. Emotional tone was Angry. Mood swings observed: Moderate. Resolution type: No Resolution.
428,2024-01-27,21,Parenting Styles,Annoyed,Compromise,Moderate,Discussed parenting styles for 21 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: Compromise.
429,2024-01-18,53,Time Management,Calm,Apology,Severe,Discussed time management for 53 minutes. Emotional tone was Calm. Mood swings observed: Severe. Resolution type: Apology.
430,2024-01-11,40,Money Management,Annoyed,No Resolution,Severe,Discussed money management for 40 minutes. Emotional tone was Annoyed. Mood swings observed: Severe. Resolution type: No Resolution.
431,2024-02-09,37,Family Responsibilities,Hurt,Compromise,Mild,Discussed family responsibilities for 37 minutes. Emotional tone was Hurt. Mood swings observed: Mild. Resolution type: Compromise.
432,2024-02-27,26,Money Management,Annoyed,No Resolution,Severe,Discussed money management for 26 minutes. Emotional tone was Annoyed. Mood swings observed: Severe. Resolution type: No Resolution.
433,2024-01-21,45,Social Activities,Disappointed,Apology,Severe,Discussed social activities for 45 minutes. Emotional tone was Disappointed. Mood swings observed: Severe. Resolution type: Apology.
434,2024-01-27,19,Money Management,Frustrated,Compromise,Mild,Discussed money management for 19 minutes. Emotional tone was Frustrated. Mood swings observed: Mild. Resolution type: Compromise.
435,2024-02-05,13,Future Goals,Angry,Resolution Discussed,None,Discussed future goals for 13 minutes. Emotional tone was Angry. Mood swings observed: None. Resolution type: Resolution Discussed.
436,2024-01-04,19,Household Chores,Disappointed,Compromise,Severe,Discussed household chores for 19 minutes. Emotional tone was Disappointed. Mood swings observed: Severe. Resolution type: Compromise.
437,2024-02-08,45,Future Goals,Frustrated,Apology,Severe,Discussed future goals for 45 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: Apology.
438,2024-02-24,52,Parenting Styles,Annoyed,No Resolution,Severe,Discussed parenting styles for 52 minutes. Emotional tone was Annoyed. Mood swings observed: Severe. Resolution type: No Resolution.
439,2024-01-14,35,Family Responsibilities,Supportive,Resolution Discussed,None,Discussed family responsibilities for 35 minutes. Emotional tone was Supportive. Mood swings observed: None. Resolution type: Resolution Discussed.
440,2024-02-29,44,Social Activities,Angry,Apology,Severe,Discussed social activities for 44 minutes. Emotional tone was Angry. Mood swings observed: Severe. Resolution type: Apology.
441,2024-02-02,22,Family Responsibilities,Disappointed,Apology,Mild,Discussed family responsibilities for 22 minutes. Emotional tone was Disappointed. Mood swings observed: Mild. Resolution type: Apology.
442,2024-02-22,24,Personal Space,Frustrated,No Resolution,Severe,Discussed personal space for 24 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: No Resolution.
443,2024-01-22,10,Parenting Styles,Annoyed,Resolution Discussed,None,Discussed parenting styles for 10 minutes. Emotional tone was Annoyed. Mood swings observed: None. Resolution type: Resolution Discussed.
444,2024-01-14,45,Money Management,Frustrated,No Resolution,Moderate,Discussed money management for 45 minutes. Emotional tone was Frustrated. Mood swings observed: Moderate. Resolution type: No Resolution.
445,2024-01-24,23,Social Activities,Annoyed,Resolution Discussed,Mild,Discussed social activities for 23 minutes. Emotional tone was Annoyed. Mood swings observed: Mild. Resolution type: Resolution Discussed.
446,2024-01-07,38,Household Chores,Disappointed,Resolution Discussed,None,Discussed household chores for 38 minutes. Emotional tone was Disappointed. Mood swings observed: None. Resolution type: Resolution Discussed.
447,2024-02-16,34,Social Activities,Annoyed,No Resolution,Severe,Discussed social activities for 34 minutes. Emotional tone was Annoyed. Mood swings observed: Severe. Resolution type: No Resolution.
448,2024-01-22,8,Personal Space,Calm,Compromise,Moderate,Discussed personal space for 8 minutes. Emotional tone was Calm. Mood swings observed: Moderate. Resolution type: Compromise.
449,2024-02-24,30,Future Goals,Annoyed,Compromise,Moderate,Discussed future goals for 30 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: Compromise.
450,2024-02-24,57,Time Management,Supportive,Compromise,Severe,Discussed time management for 57 minutes. Emotional tone was Supportive. Mood swings observed: Severe. Resolution type: Compromise.
451,2024-02-06,27,Family Responsibilities,Frustrated,Compromise,None,Discussed family responsibilities for 27 minutes. Emotional tone was Frustrated. Mood swings observed: None. Resolution type: Compromise.
452,2024-02-10,20,Social Activities,Annoyed,No Resolution,Severe,Discussed social activities for 20 minutes. Emotional tone was Annoyed. Mood swings observed: Severe. Resolution type: No Resolution.
453,2024-01-12,8,Money Management,Annoyed,Compromise,Mild,Discussed money management for 8 minutes. Emotional tone was Annoyed. Mood swings observed: Mild. Resolution type: Compromise.
454,2024-01-02,53,Family Responsibilities,Hurt,Resolution Discussed,Moderate,Discussed family responsibilities for 53 minutes. Emotional tone was Hurt. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
455,2024-01-14,17,Future Goals,Frustrated,Apology,Moderate,Discussed future goals for 17 minutes. Emotional tone was Frustrated. Mood swings observed: Moderate. Resolution type: Apology.
456,2024-02-28,18,Social Activities,Supportive,Apology,Mild,Discussed social activities for 18 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: Apology.
457,2024-02-03,32,Household Chores,Frustrated,Compromise,Mild,Discussed household chores for 32 minutes. Emotional tone was Frustrated. Mood swings observed: Mild. Resolution type: Compromise.
458,2024-01-06,13,Family Responsibilities,Frustrated,Apology,Severe,Discussed family responsibilities for 13 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: Apology.
459,2024-01-03,21,Money Management,Frustrated,No Resolution,Severe,Discussed money management for 21 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: No Resolution.
460,2024-01-03,25,Money Management,Disappointed,Resolution Discussed,Moderate,Discussed money management for 25 minutes. Emotional tone was Disappointed. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
461,2024-02-23,9,Parenting Styles,Disappointed,Apology,Severe,Discussed parenting styles for 9 minutes. Emotional tone was Disappointed. Mood swings observed: Severe. Resolution type: Apology.
462,2024-02-28,46,Money Management,Hurt,No Resolution,Severe,Discussed money management for 46 minutes. Emotional tone was Hurt. Mood swings observed: Severe. Resolution type: No Resolution.
463,2024-01-26,15,Money Management,Frustrated,Apology,Severe,Discussed money management for 15 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: Apology.
464,2024-02-01,26,Household Chores,Calm,Apology,Mild,Discussed household chores for 26 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: Apology.
465,2024-01-02,7,Money Management,Calm,Resolution Discussed,Mild,Discussed money management for 7 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: Resolution Discussed.
466,2024-02-10,12,Social Activities,Calm,Compromise,Mild,Discussed social activities for 12 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: Compromise.
467,2024-01-03,29,Time Management,Frustrated,Resolution Discussed,None,Discussed time management for 29 minutes. Emotional tone was Frustrated. Mood swings observed: None. Resolution type: Resolution Discussed.
468,2024-01-24,37,Household Chores,Hurt,Compromise,Severe,Discussed household chores for 37 minutes. Emotional tone was Hurt. Mood swings observed: Severe. Resolution type: Compromise.
469,2024-02-16,16,Social Activities,Supportive,No Resolution,Mild,Discussed social activities for 16 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: No Resolution.
470,2024-01-14,5,Parenting Styles,Calm,Apology,None,Discussed parenting styles for 5 minutes. Emotional tone was Calm. Mood swings observed: None. Resolution type: Apology.
471,2024-01-01,50,Personal Space,Happy,No Resolution,Severe,Discussed personal space for 50 minutes. Emotional tone was Happy. Mood swings observed: Severe. Resolution type: No Resolution.
472,2024-01-07,20,Family Responsibilities,Angry,Compromise,Severe,Discussed family responsibilities for 20 minutes. Emotional tone was Angry. Mood swings observed: Severe. Resolution type: Compromise.
473,2024-01-18,39,Future Goals,Disappointed,Resolution Discussed,None,Discussed future goals for 39 minutes. Emotional tone was Disappointed. Mood swings observed: None. Resolution type: Resolution Discussed.
474,2024-01-19,36,Future Goals,Happy,Apology,Mild,Discussed future goals for 36 minutes. Emotional tone was Happy. Mood swings observed: Mild. Resolution type: Apology.
475,2024-01-10,32,Future Goals,Supportive,No Resolution,Moderate,Discussed future goals for 32 minutes. Emotional tone was Supportive. Mood swings observed: Moderate. Resolution type: No Resolution.
476,2024-02-13,8,Time Management,Supportive,Resolution Discussed,Mild,Discussed time management for 8 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: Resolution Discussed.
477,2024-02-07,24,Household Chores,Happy,Compromise,Moderate,Discussed household chores for 24 minutes. Emotional tone was Happy. Mood swings observed: Moderate. Resolution type: Compromise.
478,2024-02-18,6,Time Management,Annoyed,No Resolution,Mild,Discussed time management for 6 minutes. Emotional tone was Annoyed. Mood swings observed: Mild. Resolution type: No Resolution.
479,2024-02-01,48,Time Management,Hurt,No Resolution,Moderate,Discussed time management for 48 minutes. Emotional tone was Hurt. Mood swings observed: Moderate. Resolution type: No Resolution.
480,2024-01-01,25,Household Chores,Hurt,No Resolution,None,Discussed household chores for 25 minutes. Emotional tone was Hurt. Mood swings observed: None. Resolution type: No Resolution.
481,2024-02-02,46,Time Management,Calm,No Resolution,Severe,Discussed time management for 46 minutes. Emotional tone was Calm. Mood swings observed: Severe. Resolution type: No Resolution.
482,2024-01-07,52,Money Management,Angry,Apology,Moderate,Discussed money management for 52 minutes. Emotional tone was Angry. Mood swings observed: Moderate. Resolution type: Apology.
483,2024-01-26,38,Time Management,Supportive,Resolution Discussed,Severe,Discussed time management for 38 minutes. Emotional tone was Supportive. Mood swings observed: Severe. Resolution type: Resolution Discussed.
484,2024-01-02,12,Household Chores,Disappointed,Resolution Discussed,Severe,Discussed household chores for 12 minutes. Emotional tone was Disappointed. Mood swings observed: Severe. Resolution type: Resolution Discussed.
485,2024-01-14,13,Social Activities,Supportive,Apology,Mild,Discussed social activities for 13 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: Apology.
486,2024-01-22,23,Personal Space,Annoyed,Apology,Moderate,Discussed personal space for 23 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: Apology.
487,2024-01-27,27,Family Responsibilities,Calm,Compromise,None,Discussed family responsibilities for 27 minutes. Emotional tone was Calm. Mood swings observed: None. Resolution type: Compromise.
488,2024-02-17,42,Personal Space,Disappointed,No Resolution,Severe,Discussed personal space for 42 minutes. Emotional tone was Disappointed. Mood swings observed: Severe. Resolution type: No Resolution.
489,2024-01-30,28,Time Management,Disappointed,Apology,Moderate,Discussed time management for 28 minutes. Emotional tone was Disappointed. Mood swings observed: Moderate. Resolution type: Apology.
490,2024-02-12,30,Time Management,Annoyed,No Resolution,Moderate,Discussed time management for 30 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: No Resolution.
491,2024-01-24,58,Time Management,Disappointed,Apology,Severe,Discussed time management for 58 minutes. Emotional tone was Disappointed. Mood swings observed: Severe. Resolution type: Apology.
492,2024-01-03,41,Future Goals,Calm,Compromise,Moderate,Discussed future goals for 41 minutes. Emotional tone was Calm. Mood swings observed: Moderate. Resolution type: Compromise.
493,2024-02-09,30,Personal Space,Annoyed,No Resolution,Moderate,Discussed personal space for 30 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: No Resolution.
494,2024-01-31,37,Social Activities,Frustrated,Compromise,Moderate,Discussed social activities for 37 minutes. Emotional tone was Frustrated. Mood swings observed: Moderate. Resolution type: Compromise.
495,2024-01-18,13,Personal Space,Hurt,No Resolution,None,Discussed personal space for 13 minutes. Emotional tone was Hurt. Mood swings observed: None. Resolution type: No Resolution.
496,2024-01-31,38,Household Chores,Frustrated,Compromise,Mild,Discussed household chores for 38 minutes. Emotional tone was Frustrated. Mood swings observed: Mild. Resolution type: Compromise.
497,2024-02-22,16,Social Activities,Happy,No Resolution,Moderate,Discussed social activities for 16 minutes. Emotional tone was Happy. Mood swings observed: Moderate. Resolution type: No Resolution.
498,2024-02-28,52,Money Management,Disappointed,Apology,Severe,Discussed money management for 52 minutes. Emotional tone was Disappointed. Mood swings observed: Severe. Resolution type: Apology.
499,2024-03-01,27,Parenting Styles,Happy,Resolution Discussed,Moderate,Discussed parenting styles for 27 minutes. Emotional tone was Happy. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
500,2024-01-12,46,Future Goals,Frustrated,No Resolution,Mild,Discussed future goals for 46 minutes. Emotional tone was Frustrated. Mood swings observed: Mild. Resolution type: No Resolution.
501,2024-01-01,30,Social Activities,Angry,Apology,Mild,Discussed social activities for 30 minutes. Emotional tone was Angry. Mood swings observed: Mild. Resolution type: Apology.
502,2024-01-12,53,Future Goals,Annoyed,Resolution Discussed,None,Discussed future goals for 53 minutes. Emotional tone was Annoyed. Mood swings observed: None. Resolution type: Resolution Discussed.
503,2024-02-04,55,Family Responsibilities,Disappointed,Compromise,None,Discussed family responsibilities for 55 minutes. Emotional tone was Disappointed. Mood swings observed: None. Resolution type: Compromise.
504,2024-02-23,11,Time Management,Happy,No Resolution,Severe,Discussed time management for 11 minutes. Emotional tone was Happy. Mood swings observed: Severe. Resolution type: No Resolution.
505,2024-01-14,27,Money Management,Annoyed,Apology,Moderate,Discussed money management for 27 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: Apology.
506,2024-02-08,31,Money Management,Annoyed,Compromise,None,Discussed money management for 31 minutes. Emotional tone was Annoyed. Mood swings observed: None. Resolution type: Compromise.
507,2024-01-22,47,Personal Space,Annoyed,Apology,Moderate,Discussed personal space for 47 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: Apology.
508,2024-02-04,41,Social Activities,Frustrated,Compromise,Mild,Discussed social activities for 41 minutes. Emotional tone was Frustrated. Mood swings observed: Mild. Resolution type: Compromise.
509,2024-01-24,5,Family Responsibilities,Angry,No Resolution,Severe,Discussed family responsibilities for 5 minutes. Emotional tone was Angry. Mood swings observed: Severe. Resolution type: No Resolution.
510,2024-02-26,44,Household Chores,Hurt,No Resolution,Moderate,Discussed household chores for 44 minutes. Emotional tone was Hurt. Mood swings observed: Moderate. Resolution type: No Resolution.
511,2024-02-15,40,Personal Space,Frustrated,No Resolution,None,Discussed personal space for 40 minutes. Emotional tone was Frustrated. Mood swings observed: None. Resolution type: No Resolution.
512,2024-02-05,42,Household Chores,Happy,Resolution Discussed,None,Discussed household chores for 42 minutes. Emotional tone was Happy. Mood swings observed: None. Resolution type: Resolution Discussed.
513,2024-01-09,60,Personal Space,Happy,Apology,Mild,Discussed personal space for 60 minutes. Emotional tone was Happy. Mood swings observed: Mild. Resolution type: Apology.
514,2024-01-30,13,Time Management,Supportive,Compromise,Mild,Discussed time management for 13 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: Compromise.
515,2024-01-25,45,Time Management,Calm,Compromise,Mild,Discussed time management for 45 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: Compromise.
516,2024-02-25,23,Family Responsibilities,Annoyed,No Resolution,None,Discussed family responsibilities for 23 minutes. Emotional tone was Annoyed. Mood swings observed: None. Resolution type: No Resolution.
517,2024-01-10,19,Personal Space,Angry,Resolution Discussed,Moderate,Discussed personal space for 19 minutes. Emotional tone was Angry. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
518,2024-01-19,40,Personal Space,Annoyed,Compromise,Severe,Discussed personal space for 40 minutes. Emotional tone was Annoyed. Mood swings observed: Severe. Resolution type: Compromise.
519,2024-02-19,54,Time Management,Happy,Apology,Mild,Discussed time management for 54 minutes. Emotional tone was Happy. Mood swings observed: Mild. Resolution type: Apology.
520,2024-02-11,19,Money Management,Happy,No Resolution,Severe,Discussed money management for 19 minutes. Emotional tone was Happy. Mood swings observed: Severe. Resolution type: No Resolution.
521,2024-01-21,58,Family Responsibilities,Disappointed,No Resolution,Moderate,Discussed family responsibilities for 58 minutes. Emotional tone was Disappointed. Mood swings observed: Moderate. Resolution type: No Resolution.
522,2024-02-07,24,Time Management,Disappointed,Compromise,Moderate,Discussed time management for 24 minutes. Emotional tone was Disappointed. Mood swings observed: Moderate. Resolution type: Compromise.
523,2024-01-15,48,Social Activities,Disappointed,No Resolution,Mild,Discussed social activities for 48 minutes. Emotional tone was Disappointed. Mood swings observed: Mild. Resolution type: No Resolution.
524,2024-01-10,5,Time Management,Hurt,Apology,Severe,Discussed time management for 5 minutes. Emotional tone was Hurt. Mood swings observed: Severe. Resolution type: Apology.
525,2024-01-10,24,Social Activities,Disappointed,No Resolution,Severe,Discussed social activities for 24 minutes. Emotional tone was Disappointed. Mood swings observed: Severe. Resolution type: No Resolution.
526,2024-01-16,39,Parenting Styles,Calm,Compromise,Severe,Discussed parenting styles for 39 minutes. Emotional tone was Calm. Mood swings observed: Severe. Resolution type: Compromise.
527,2024-02-29,6,Money Management,Angry,Compromise,Mild,Discussed money management for 6 minutes. Emotional tone was Angry. Mood swings observed: Mild. Resolution type: Compromise.
528,2024-01-28,9,Parenting Styles,Hurt,Apology,Mild,Discussed parenting styles for 9 minutes. Emotional tone was Hurt. Mood swings observed: Mild. Resolution type: Apology.
529,2024-02-19,5,Money Management,Frustrated,Compromise,Severe,Discussed money management for 5 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: Compromise.
530,2024-02-02,59,Parenting Styles,Happy,No Resolution,Moderate,Discussed parenting styles for 59 minutes. Emotional tone was Happy. Mood swings observed: Moderate. Resolution type: No Resolution.
531,2024-01-06,14,Household Chores,Supportive,Apology,Moderate,Discussed household chores for 14 minutes. Emotional tone was Supportive. Mood swings observed: Moderate. Resolution type: Apology.
532,2024-01-15,24,Family Responsibilities,Frustrated,Compromise,Severe,Discussed family responsibilities for 24 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: Compromise.
533,2024-01-23,15,Family Responsibilities,Annoyed,Compromise,Severe,Discussed family responsibilities for 15 minutes. Emotional tone was Annoyed. Mood swings observed: Severe. Resolution type: Compromise.
534,2024-01-28,50,Household Chores,Frustrated,No Resolution,Severe,Discussed household chores for 50 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: No Resolution.
535,2024-02-06,25,Social Activities,Disappointed,No Resolution,Mild,Discussed social activities for 25 minutes. Emotional tone was Disappointed. Mood swings observed: Mild. Resolution type: No Resolution.
536,2024-01-06,21,Parenting Styles,Disappointed,No Resolution,Mild,Discussed parenting styles for 21 minutes. Emotional tone was Disappointed. Mood swings observed: Mild. Resolution type: No Resolution.
537,2024-01-17,15,Personal Space,Angry,Resolution Discussed,Severe,Discussed personal space for 15 minutes. Emotional tone was Angry. Mood swings observed: Severe. Resolution type: Resolution Discussed.
538,2024-01-27,47,Future Goals,Angry,Resolution Discussed,Moderate,Discussed future goals for 47 minutes. Emotional tone was Angry. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
539,2024-02-10,48,Social Activities,Happy,Compromise,Mild,Discussed social activities for 48 minutes. Emotional tone was Happy. Mood swings observed: Mild. Resolution type: Compromise.
540,2024-02-21,15,Personal Space,Annoyed,No Resolution,None,Discussed personal space for 15 minutes. Emotional tone was Annoyed. Mood swings observed: None. Resolution type: No Resolution.
541,2024-02-21,31,Money Management,Supportive,Apology,Severe,Discussed money management for 31 minutes. Emotional tone was Supportive. Mood swings observed: Severe. Resolution type: Apology.
542,2024-01-16,28,Social Activities,Frustrated,No Resolution,Moderate,Discussed social activities for 28 minutes. Emotional tone was Frustrated. Mood swings observed: Moderate. Resolution type: No Resolution.
543,2024-01-21,30,Household Chores,Angry,No Resolution,Severe,Discussed household chores for 30 minutes. Emotional tone was Angry. Mood swings observed: Severe. Resolution type: No Resolution.
544,2024-01-01,39,Family Responsibilities,Frustrated,Apology,Mild,Discussed family responsibilities for 39 minutes. Emotional tone was Frustrated. Mood swings observed: Mild. Resolution type: Apology.
545,2024-01-30,25,Personal Space,Supportive,No Resolution,None,Discussed personal space for 25 minutes. Emotional tone was Supportive. Mood swings observed: None. Resolution type: No Resolution.
546,2024-01-21,53,Personal Space,Disappointed,Compromise,Mild,Discussed personal space for 53 minutes. Emotional tone was Disappointed. Mood swings observed: Mild. Resolution type: Compromise.
547,2024-02-15,53,Personal Space,Frustrated,Resolution Discussed,None,Discussed personal space for 53 minutes. Emotional tone was Frustrated. Mood swings observed: None. Resolution type: Resolution Discussed.
548,2024-01-03,59,Social Activities,Supportive,Compromise,Mild,Discussed social activities for 59 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: Compromise.
549,2024-01-23,17,Future Goals,Disappointed,Compromise,Mild,Discussed future goals for 17 minutes. Emotional tone was Disappointed. Mood swings observed: Mild. Resolution type: Compromise.
550,2024-01-25,6,Personal Space,Angry,Apology,Severe,Discussed personal space for 6 minutes. Emotional tone was Angry. Mood swings observed: Severe. Resolution type: Apology.
551,2024-01-24,32,Future Goals,Happy,Apology,Moderate,Discussed future goals for 32 minutes. Emotional tone was Happy. Mood swings observed: Moderate. Resolution type: Apology.
552,2024-01-25,22,Household Chores,Happy,No Resolution,Mild,Discussed household chores for 22 minutes. Emotional tone was Happy. Mood swings observed: Mild. Resolution type: No Resolution.
553,2024-01-24,42,Household Chores,Annoyed,Compromise,None,Discussed household chores for 42 minutes. Emotional tone was Annoyed. Mood swings observed: None. Resolution type: Compromise.
554,2024-02-22,50,Future Goals,Hurt,Resolution Discussed,None,Discussed future goals for 50 minutes. Emotional tone was Hurt. Mood swings observed: None. Resolution type: Resolution Discussed.
555,2024-01-01,33,Personal Space,Hurt,No Resolution,None,Discussed personal space for 33 minutes. Emotional tone was Hurt. Mood swings observed: None. Resolution type: No Resolution.
556,2024-01-10,52,Parenting Styles,Calm,No Resolution,Moderate,Discussed parenting styles for 52 minutes. Emotional tone was Calm. Mood swings observed: Moderate. Resolution type: No Resolution.
557,2024-02-09,10,Money Management,Frustrated,Compromise,None,Discussed money management for 10 minutes. Emotional tone was Frustrated. Mood swings observed: None. Resolution type: Compromise.
558,2024-01-17,23,Money Management,Supportive,Apology,Moderate,Discussed money management for 23 minutes. Emotional tone was Supportive. Mood swings observed: Moderate. Resolution type: Apology.
559,2024-01-12,36,Money Management,Supportive,No Resolution,Mild,Discussed money management for 36 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: No Resolution.
560,2024-02-01,58,Social Activities,Happy,Resolution Discussed,None,Discussed social activities for 58 minutes. Emotional tone was Happy. Mood swings observed: None. Resolution type: Resolution Discussed.
561,2024-02-20,52,Parenting Styles,Frustrated,No Resolution,Severe,Discussed parenting styles for 52 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: No Resolution.
562,2024-01-16,34,Household Chores,Disappointed,Apology,Moderate,Discussed household chores for 34 minutes. Emotional tone was Disappointed. Mood swings observed: Moderate. Resolution type: Apology.
563,2024-02-23,22,Social Activities,Happy,No Resolution,None,Discussed social activities for 22 minutes. Emotional tone was Happy. Mood swings observed: None. Resolution type: No Resolution.
564,2024-01-05,6,Household Chores,Supportive,No Resolution,Severe,Discussed household chores for 6 minutes. Emotional tone was Supportive. Mood swings observed: Severe. Resolution type: No Resolution.
565,2024-02-21,22,Time Management,Annoyed,Apology,Moderate,Discussed time management for 22 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: Apology.
566,2024-01-14,18,Money Management,Frustrated,Resolution Discussed,Severe,Discussed money management for 18 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: Resolution Discussed.
567,2024-01-09,44,Money Management,Disappointed,Resolution Discussed,None,Discussed money management for 44 minutes. Emotional tone was Disappointed. Mood swings observed: None. Resolution type: Resolution Discussed.
568,2024-02-24,12,Household Chores,Disappointed,Compromise,Mild,Discussed household chores for 12 minutes. Emotional tone was Disappointed. Mood swings observed: Mild. Resolution type: Compromise.
569,2024-02-10,31,Family Responsibilities,Calm,No Resolution,Moderate,Discussed family responsibilities for 31 minutes. Emotional tone was Calm. Mood swings observed: Moderate. Resolution type: No Resolution.
570,2024-02-14,7,Household Chores,Annoyed,Resolution Discussed,Moderate,Discussed household chores for 7 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
571,2024-01-24,44,Future Goals,Hurt,Resolution Discussed,Moderate,Discussed future goals for 44 minutes. Emotional tone was Hurt. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
572,2024-02-29,15,Money Management,Frustrated,Compromise,None,Discussed money management for 15 minutes. Emotional tone was Frustrated. Mood swings observed: None. Resolution type: Compromise.
573,2024-01-07,42,Social Activities,Annoyed,Compromise,Moderate,Discussed social activities for 42 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: Compromise.
574,2024-01-20,39,Future Goals,Angry,Compromise,Severe,Discussed future goals for 39 minutes. Emotional tone was Angry. Mood swings observed: Severe. Resolution type: Compromise.
575,2024-02-15,37,Personal Space,Happy,Resolution Discussed,Severe,Discussed personal space for 37 minutes. Emotional tone was Happy. Mood swings observed: Severe. Resolution type: Resolution Discussed.
576,2024-02-20,44,Personal Space,Annoyed,Compromise,Mild,Discussed personal space for 44 minutes. Emotional tone was Annoyed. Mood swings observed: Mild. Resolution type: Compromise.
577,2024-02-24,39,Money Management,Happy,Apology,None,Discussed money management for 39 minutes. Emotional tone was Happy. Mood swings observed: None. Resolution type: Apology.
578,2024-01-16,17,Family Responsibilities,Frustrated,Compromise,Mild,Discussed family responsibilities for 17 minutes. Emotional tone was Frustrated. Mood swings observed: Mild. Resolution type: Compromise.
579,2024-02-20,60,Money Management,Hurt,Compromise,Mild,Discussed money management for 60 minutes. Emotional tone was Hurt. Mood swings observed: Mild. Resolution type: Compromise.
580,2024-02-03,36,Money Management,Annoyed,Apology,None,Discussed money management for 36 minutes. Emotional tone was Annoyed. Mood swings observed: None. Resolution type: Apology.
581,2024-01-29,7,Parenting Styles,Hurt,Apology,Severe,Discussed parenting styles for 7 minutes. Emotional tone was Hurt. Mood swings observed: Severe. Resolution type: Apology.
582,2024-03-01,36,Household Chores,Disappointed,Compromise,Severe,Discussed household chores for 36 minutes. Emotional tone was Disappointed. Mood swings observed: Severe. Resolution type: Compromise.
583,2024-01-20,24,Future Goals,Supportive,Apology,None,Discussed future goals for 24 minutes. Emotional tone was Supportive. Mood swings observed: None. Resolution type: Apology.
584,2024-01-13,51,Parenting Styles,Happy,Apology,Moderate,Discussed parenting styles for 51 minutes. Emotional tone was Happy. Mood swings observed: Moderate. Resolution type: Apology.
585,2024-02-05,35,Time Management,Annoyed,Apology,Severe,Discussed time management for 35 minutes. Emotional tone was Annoyed. Mood swings observed: Severe. Resolution type: Apology.
586,2024-01-19,40,Future Goals,Supportive,Resolution Discussed,Severe,Discussed future goals for 40 minutes. Emotional tone was Supportive. Mood swings observed: Severe. Resolution type: Resolution Discussed.
587,2024-02-12,38,Parenting Styles,Happy,No Resolution,Severe,Discussed parenting styles for 38 minutes. Emotional tone was Happy. Mood swings observed: Severe. Resolution type: No Resolution.
588,2024-02-16,16,Future Goals,Disappointed,No Resolution,Severe,Discussed future goals for 16 minutes. Emotional tone was Disappointed. Mood swings observed: Severe. Resolution type: No Resolution.
589,2024-01-25,38,Money Management,Calm,Apology,Mild,Discussed money management for 38 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: Apology.
590,2024-01-13,27,Social Activities,Frustrated,No Resolution,Severe,Discussed social activities for 27 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: No Resolution.
